SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month,AGE_BIN,LIMIT_BAL_LOG
female,university,married,2,2,-1,-1,-2,-2,1521.335735003265,974.0645668000514,316.1611613449731,0.0,0.0,0.0,0.0,6.536691597591305,0.0,0.0,0.0,0.0,1,21-25,9.90353755128617
female,university,single,-1,2,0,0,0,2,1095.4770772984164,596.9743124774402,1015.8893366452197,1286.2885803861986,1160.4712972043778,1664.8778231968236,0.0,6.90875477931522,6.90875477931522,6.90875477931522,0.0,7.601402334583733,1,25-30,11.695255355062795
female,university,single,0,0,0,0,0,0,8736.27218253652,3427.7504808694257,4080.5632252867313,4631.703029859485,4006.707690871171,6840.756237915344,7.325807502595773,7.313886831633462,6.90875477931522,6.90875477931522,6.90875477931522,8.517393171418904,0,30-35,11.407576060361786
female,university,married,0,0,0,0,0,0,13193.63056011295,9596.076846888644,12346.651398058659,8359.832910659632,7009.542109656663,12226.995989221492,7.601402334583733,7.61085279039525,7.0909098220799835,7.00397413672268,6.975413927455952,6.90875477931522,0,35-45,10.819798284210286
male,university,married,-1,0,-1,0,0,0,3021.502350414407,1610.799268895185,9392.56197135992,6435.3702530030905,4939.751090814067,8251.866219856593,7.601402334583733,10.510041450510977,9.210440366976517,9.105090961257085,6.536691597591305,6.522092798170152,0,45+,10.819798284210286
male,graduate school,single,0,0,0,0,0,0,17350.099830255167,11040.345740297893,14113.392415977083,6021.258615677728,5042.770065344767,8599.545351794735,7.824445930877619,7.504391559161238,6.489204931325317,6.90875477931522,6.90875477931522,6.68586094706836,0,35-45,10.819798284210286
male,graduate school,single,0,0,0,0,0,0,78882.79336618606,57343.633564516924,81504.01755585305,108220.30102170393,75721.22117768953,150491.49401778684,10.915106645867503,10.596659732783579,10.545367754151743,9.915416123401402,9.528866827722945,9.530320210727126,0,25-30,13.122365377402328
female,university,single,0,-1,-1,0,0,-1,3992.973666515672,168.63903595193838,281.118659126526,123.71312665878334,-302.5685698595004,341.66163009789966,5.942799375126701,6.400257445308821,0.0,6.366470447731438,7.431299675155903,7.341483852363161,0,21-25,11.51293546492023
female,high school,married,0,0,2,0,0,0,3819.7141805201854,3441.800509471765,3702.9777657477966,4031.2906016194343,3278.710092020577,1875.1112226172006,8.110727582974489,0.0,6.07073772800249,6.90875477931522,6.90875477931522,6.90875477931522,0,25-30,11.849404844423074
male,high school,single,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,3562.013678073135,6185.837782571222,0.0,0.0,0.0,9.473319831787592,7.023758954738443,0.0,0,35-45,9.90353755128617
female,high school,single,0,0,2,0,0,-1,3757.2762152047276,2539.2066780809937,1891.8345133523485,1023.0240601272394,677.0591925473567,1880.584962380405,7.7437032581737535,2.5649493574615367,3.9318256327243257,5.707110264748875,8.226573474977114,4.204692619390966,0,30-35,12.206077645517674
female,graduate school,single,-1,-1,-1,-1,-1,2,4105.231202351413,4925.676724275991,3133.38968046098,2949.457561838989,5616.977119895895,6087.608603540196,9.99053642882265,9.207034914967457,9.057655284310535,10.012431639525307,0.0,8.200013648175434,0,45+,12.468440756144114
female,university,single,-1,0,-1,-1,-1,-1,4069.1266854242617,1805.1464966157598,2171.552154106603,2333.1204001402416,1980.8782637870745,1483.1648139102974,6.90875477931522,8.77971129020447,8.77971129020447,8.77971129020447,7.962415680121064,0.0,0,35-45,13.353476685668044
male,university,single,1,2,2,0,0,2,17677.83550407092,12677.705225259353,15797.883239216779,17593.478136369766,8453.18765622477,14947.226063928503,8.071218539969863,0.0,8.006700845440367,8.006700845440367,7.313886831633462,0.0,1,30-35,11.156264806643742
male,graduate school,single,0,0,0,0,0,0,18859.002515822125,12629.223257235297,15355.487116150061,15962.819440787738,12404.948257679423,21630.232754265056,8.006700845440367,8.006700845440367,8.006700845440367,8.006700845440367,8.006700845440367,8.006700845440367,0,25-30,12.429220196836383
female,high school,others,1,2,0,0,0,0,14073.4399217719,6310.9100793453135,7628.061157274175,8476.718497703352,7126.457503012403,12475.290077545631,0.0,7.313886831633462,7.00397413672268,7.0909098220799835,7.170888478512505,7.00397413672268,0,21-25,10.819798284210286
male,graduate school,single,0,0,2,2,2,2,4997.788190216434,4221.764506515244,5061.073184541129,5735.885347451924,4667.560882197013,8241.330295628803,8.071218539969863,0.0,7.313886831633462,0.0,7.409136443920128,0.0,1,21-25,9.90353755128617
male,graduate school,married,0,0,0,-1,-1,-1,57023.55660131613,37376.97163426148,40104.55654432728,18343.099688673432,1813.5254751176649,67583.1432637176,9.245610986058102,9.210440366976517,11.237712001989848,9.90353755128617,12.183827036582853,10.819798284210286,0,45+,12.676079399771027
female,graduate school,married,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45+,12.793862088206213
female,graduate school,single,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25-30,12.100717685412471
female,high school,single,0,0,0,0,0,-1,11060.346137422926,6041.991665790995,6775.818893634104,6348.930220708898,3280.8264272050264,534.8336797846977,8.006700845440367,7.338238150065589,6.90875477931522,7.601402334583733,6.836259277277067,10.427180042008942,0,35-45,11.775297421715827
female,university,married,-1,-1,-1,-1,-1,-1,170.29718154133207,144.506683280822,161.68504402998187,0.0,275.3332377530096,201.14428582150163,5.75890177387728,5.75890177387728,0.0,6.450470422144176,5.75890177387728,0.0,1,35-45,11.695255355062795
female,university,single,2,0,0,2,2,2,11740.997996365862,8626.240368218572,11423.161797275188,12253.77700179166,10539.249951537067,18252.567560617597,7.60489448081162,8.183955717304954,0.0,8.189244525735901,0.0,7.507141079727608,1,25-30,11.156264806643742
female,graduate school,married,-2,-2,-2,-2,-2,-2,2049.1246757745507,4495.531137010498,607.3068641456831,277.80992140289186,0.0,0.0,9.874522074243114,7.295735072749282,6.329720905522696,0.0,0.0,7.029087564149662,1,35-45,13.017005083966255
male,graduate school,single,0,0,0,-1,0,0,1798.5654828132695,1936.2022411923224,0.0,1985.883482401845,1944.7238528846024,3873.4053629203086,8.65834547117212,0.0,8.593969030218288,7.0909098220799835,7.6236419465115715,7.601402334583733,0,21-25,11.407576060361786
male,high school,single,0,0,0,0,0,0,13347.198616712243,8518.543423781473,9434.813415877828,8526.773072023832,7187.229156261403,12413.639571922115,7.587817219993427,7.2633296174768365,6.90975328164481,7.267525427828172,6.968850378341948,6.905753276311464,0,21-25,10.819798284210286
male,graduate school,single,1,-2,-1,-1,-1,-1,-179.24114162655698,-1000.535165524152,136.22431085878367,-86.93902313358704,70.38301590215292,-285.2937501850919,0.0,6.90875477931522,0.0,6.2166061010848646,0.0,6.90875477931522,1,25-30,11.002116507732017
female,high school,single,0,0,0,0,0,0,6968.557355550324,3852.676448235792,4994.986263982978,5610.8976599611415,4892.794810397519,8441.272266885173,7.170888478512505,7.170888478512505,6.90875477931522,7.313886831633462,6.90875477931522,6.920671504248683,0,30-35,10.819798284210286
female,high school,married,-1,-1,-1,-1,-1,-1,319.2341067009098,1055.384521605042,1250.3090628373163,853.6844663287404,7309.508295997405,166.76951228659803,8.13622555490846,8.137980454452139,7.623153068476902,10.323217104657997,5.552959584921617,0.0,0,45+,10.819798284210286
male,graduate school,single,0,0,0,0,0,0,4984.509841927721,3939.4469883412785,5078.00820725461,5618.789833751936,4770.9788969339415,5166.069105063314,7.313886831633462,7.313886831633462,6.90875477931522,6.90875477931522,7.3783837129967145,0.0,0,25-30,10.819798284210286
