SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month,AGE_BIN,LIMIT_BAL_LOG
female,university,single,2,2,3,2,0,0,40728.39355781257,29142.66522803791,24245.70609439418,27799.41874388559,30363.771894574034,58489.14922505109,9.61587214452889,0.0,0.0,8.716207971151853,9.417435838868785,8.716207971151853,0,30-35,11.982935344196433
female,graduate school,single,1,-1,-1,-2,-2,-2,0.0,32.55576883990743,0.0,0.0,0.0,0.0,3.9889840465642745,0.0,0.0,0.0,0.0,0.0,0,30-35,11.918397239722838
male,university,married,1,2,0,0,0,0,3630.447500807615,2256.630795320955,2064.990797572071,2228.017817197095,2429.0984887214886,3977.5755519069353,1.0986122886681098,7.156176637480615,7.034387929915503,5.68697535633982,5.723585101952381,6.90875477931522,0,45+,9.210440366976517
female,graduate school,single,0,0,0,0,0,0,50492.83715214813,34484.14913340655,29638.28860947312,35294.27314690561,25386.41410810245,49085.94249583045,9.116139576577355,9.105090961257085,8.973097896282471,8.476579508530941,8.497194544909547,8.699681400989514,1,25-30,12.301387370778713
female,graduate school,single,1,-2,-1,0,0,-2,0.0,0.0,141.15772108252668,151.03180905743395,-473.08165012605065,-358.94440407884775,0.0,5.7899601708972535,0.0,0.0,0.0,7.0909098220799835,0,30-35,12.644330802262578
female,graduate school,single,-1,-1,2,0,-1,2,2076.390778807389,1976.7565022494055,1695.9079713268936,1529.6055333352,3751.945461004296,2832.8866892601195,8.847934753328465,2.772588722239781,0.0,8.855663430700124,0.0,6.588926477533519,1,35-45,12.388398368982115
female,high school,single,-1,2,2,2,2,-2,6035.292170706553,306.7688413375459,8069.2630163584745,9088.07179409875,-1862.2734935447302,-1316.195225978617,0.0,10.680539205318292,0.0,0.0,0.0,8.006700845440367,0,30-35,11.982935344196433
female,university,married,3,3,2,2,2,2,14062.92466044359,10013.737259697586,8715.938356644727,9623.917193353218,10202.548459943562,18042.638910284662,7.601402334583733,7.601901959875166,6.214608098422191,7.601402334583733,7.601402334583733,7.313886831633462,1,30-35,10.819798284210286
male,graduate school,married,0,0,0,0,0,0,31494.405252627686,22165.83263596205,19398.44460700426,23489.949598694,26032.06178251605,49257.46322264134,8.699681400989514,8.699681400989514,8.987321812850125,8.50086053679534,8.517393171418904,8.101980731853192,0,30-35,12.793862088206213
male,university,single,0,0,0,0,0,0,74864.39025856863,49017.51490044424,41617.70220237528,48861.16034108192,50624.72412294218,102156.54893920272,9.36314729221994,9.433563920090563,9.38437770918244,9.259511415982631,9.29532469588118,9.214431989879436,0,25-30,12.676079399771027
